"time","h","v","ground"
0,1,0,0.2
0.01,1,-0.0981,0.2
0.02,0.999019,-0.1962,0.2
0.03,0.997057,-0.2943,0.2
0.04,0.994114,-0.3924,0.2
0.05,0.99019,-0.4905,0.2
0.06,0.985285,-0.5886,0.2
0.07,0.979399,-0.6867,0.2
0.08,0.972532,-0.7848,0.2
0.09,0.964684,-0.8829,0.2
0.1,0.955855,-0.981,0.2
0.11,0.946045,-1.0791,0.2
0.12,0.935254,-1.1772,0.2
0.13,0.923482,-1.2753,0.2
0.14,0.910729,-1.3734,0.2
0.15,0.896995,-1.4715,0.2
0.16,0.88228,-1.5696,0.2
0.17,0.866584,-1.6677,0.2
0.18,0.849907,-1.7658,0.2
0.19,0.832249,-1.8639,0.2
0.2,0.81361,-1.962,0.2
0.21,0.79399,-2.0601,0.2
0.22,0.773389,-2.1582,0.2
0.23,0.751807,-2.2563,0.2
0.24,0.729244,-2.3544,0.2
0.25,0.7057,-2.4525,0.2
0.26,0.681175,-2.5506,0.2
0.27,0.655669,-2.6487,0.2
0.28,0.629182,-2.7468,0.2
0.29,0.601714,-2.8449,0.2
0.3,0.573265,-2.943,0.2
0.31,0.543835,-3.0411,0.2
0.32,0.513424,-3.1392,0.2
0.33,0.482032,-3.2373,0.2
0.34,0.449659,-3.3354,0.2
0.35,0.416305,-3.4335,0.2
0.36,0.38197,-3.5316,0.2
0.37,0.346654,-3.6297,0.2
0.38,0.310357,-3.7278,0.2
0.39,0.273079,-3.8259,0.2
0.4,0.23482,-3.924,0.2
0.41,0.19558,-4.0221,0.2
0.41,0.2,2.81547,0.2
0.42,0.228155,2.71737,0.2
0.42,0.228155,2.71737,0.2
0.43,0.255328,2.61927,0.2
0.44,0.281521,2.52117,0.2
0.45,0.306733,2.42307,0.2
0.46,0.330964,2.32497,0.2
0.47,0.354213,2.22687,0.2
0.48,0.376482,2.12877,0.2
0.49,0.39777,2.03067,0.2
0.5,0.418076,1.93257,0.2
0.51,0.437402,1.83447,0.2
0.52,0.455747,1.73637,0.2
0.53,0.47311,1.63827,0.2
0.54,0.489493,1.54017,0.2
0.55,0.504895,1.44207,0.2
0.56,0.519316,1.34397,0.2
0.57,0.532755,1.24587,0.2
0.58,0.545214,1.14777,0.2
0.59,0.556692,1.04967,0.2
0.6,0.567188,0.95157,0.2
0.61,0.576704,0.85347,0.2
0.61,0.576704,0.85347,0.1
0.62,0.585239,0.75537,0.1
0.63,0.592792,0.65727,0.1
0.64,0.599365,0.55917,0.1
0.65,0.604957,0.46107,0.1
0.66,0.609568,0.36297,0.1
0.67,0.613197,0.26487,0.1
0.68,0.615846,0.16677,0.1
0.69,0.617514,0.06867,0.1
0.7,0.6182,-0.02943,0.1
0.71,0.617906,-0.12753,0.1
0.72,0.616631,-0.22563,0.1
0.73,0.614374,-0.32373,0.1
0.74,0.611137,-0.42183,0.1
0.75,0.606919,-0.51993,0.1
0.76,0.60172,-0.61803,0.1
0.77,0.595539,-0.71613,0.1
0.78,0.588378,-0.81423,0.1
0.79,0.580236,-0.91233,0.1
0.8,0.571112,-1.01043,0.1
0.81,0.561008,-1.10853,0.1
0.82,0.549923,-1.20663,0.1
0.83,0.537856,-1.30473,0.1
0.84,0.524809,-1.40283,0.1
0.85,0.510781,-1.50093,0.1
0.86,0.495772,-1.59903,0.1
0.87,0.479781,-1.69713,0.1
0.88,0.46281,-1.79523,0.1
0.89,0.444858,-1.89333,0.1
0.9,0.425924,-1.99143,0.1
0.91,0.40601,-2.08953,0.1
0.92,0.385115,-2.18763,0.1
0.93,0.363238,-2.28573,0.1
0.94,0.340381,-2.38383,0.1
0.95,0.316543,-2.48193,0.1
0.96,0.291723,-2.58003,0.1
0.97,0.265923,-2.67813,0.1
0.98,0.239142,-2.77623,0.1
0.99,0.21138,-2.87433,0.1
1,0.182636,-2.97243,0.1
1.01,0.152912,-3.07053,0.1
1.02,0.122207,-3.16863,0.1
1.03,0.0905204,-3.26673,0.1
1.03,0.1,2.28671,0.1
1.04,0.122867,2.18861,0.1
1.04,0.122867,2.18861,0.1
1.05,0.144753,2.09051,0.1
1.06,0.165658,1.99241,0.1
1.07,0.185582,1.89431,0.1
1.08,0.204526,1.79621,0.1
1.09,0.222488,1.69811,0.1
1.1,0.239469,1.60001,0.1
1.11,0.255469,1.50191,0.1
1.12,0.270488,1.40381,0.1
1.13,0.284526,1.30571,0.1
1.14,0.297583,1.20761,0.1
1.15,0.309659,1.10951,0.1
1.16,0.320754,1.01141,0.1
1.17,0.330869,0.913311,0.1
1.18,0.340002,0.815211,0.1
1.19,0.348154,0.717111,0.1
1.2,0.355325,0.619011,0.1
1.21,0.361515,0.520911,0.1
1.22,0.366724,0.422811,0.1
1.23,0.370952,0.324711,0.1
1.23,0.370952,0.324711,0
