time,x0,x1
0,2,0
0.01,2,-0.02
0.02,1.9998,-0.0394
0.03,1.99941,-0.0582163
0.04,1.99882,-0.0764653
0.05,1.99806,-0.0941631
0.06,1.99712,-0.111326
0.07,1.996,-0.12797
0.08,1.99472,-0.144112
0.09,1.99328,-0.159766
0.1,1.99169,-0.174949
0.11,1.98994,-0.189675
0.12,1.98804,-0.20396
0.13,1.986,-0.217819
0.14,1.98382,-0.231266
0.15,1.98151,-0.244316
0.16,1.97907,-0.256981
0.17,1.9765,-0.269276
0.18,1.9738,-0.281215
0.19,1.97099,-0.292809
0.2,1.96806,-0.304072
0.21,1.96502,-0.315016
0.22,1.96187,-0.325652
0.23,1.95862,-0.335993
0.24,1.95526,-0.34605
0.25,1.9518,-0.355834
0.26,1.94824,-0.365355
0.27,1.94458,-0.374623
0.28,1.94084,-0.383649
0.29,1.937,-0.392442
0.3,1.93308,-0.401012
0.31,1.92907,-0.409368
0.32,1.92497,-0.417519
0.33,1.9208,-0.425473
0.34,1.91654,-0.433238
0.35,1.91221,-0.440822
0.36,1.9078,-0.448234
0.37,1.90332,-0.455479
0.38,1.89876,-0.462567
0.39,1.89414,-0.469503
0.4,1.88944,-0.476295
0.41,1.88468,-0.482949
0.42,1.87985,-0.489471
0.43,1.87496,-0.495867
0.44,1.87,-0.502143
0.45,1.86498,-0.508305
0.46,1.85989,-0.514358
0.47,1.85475,-0.520308
0.48,1.84955,-0.52616
0.49,1.84429,-0.531918
0.5,1.83897,-0.537587
0.51,1.83359,-0.543173
0.52,1.82816,-0.548678
0.53,1.82267,-0.554109
0.54,1.81713,-0.559469
0.55,1.81154,-0.564761
0.56,1.80589,-0.569991
0.57,1.80019,-0.575161
0.58,1.79444,-0.580275
0.59,1.78863,-0.585337
0.6,1.78278,-0.590351
0.61,1.77688,-0.595319
0.62,1.77092,-0.600245
0.63,1.76492,-0.605132
0.64,1.75887,-0.609983
0.65,1.75277,-0.614801
0.66,1.74662,-0.619589
0.67,1.74043,-0.624349
0.68,1.73418,-0.629085
0.69,1.72789,-0.633798
