time,x,r,x_r,u_r
0,0,0,0,0
0.01,0,0,0,0
0.02,0,0,0,0
0.03,0,0,0,0
0.04,0,0,0,0
0.05,0,0,0,0
0.06,0,0,0,0
0.07,0,0,0,0
0.08,0,0,0,0
0.09,0,0,0,0
0.1,0,0,0,0
0.11,0.01,0,0.01,1
0.12,0.0199,0,0.0199,1
0.13,0.029701,0,0.029701,1
0.14,0.039404,0,0.039404,1
0.15,0.04901,0,0.04901,1
0.16,0.0585199,0,0.0585199,1
0.17,0.0679347,0,0.0679347,1
0.18,0.0772553,0,0.0772553,1
0.19,0.0864828,0,0.0864828,1
0.2,0.0956179,0,0.0956179,1
0.21,0.104662,0,0.104662,1
0.22,0.123615,0,0.123615,2
0.23,0.142379,0,0.142379,2
0.24,0.160955,0,0.160955,2
0.25,0.179346,0,0.179346,2
0.26,0.197552,0,0.197552,2
0.27,0.215577,0,0.215577,2
0.28,0.233421,0,0.233421,2
0.29,0.251087,0,0.251087,2
0.3,0.268576,0,0.268576,2
0.31,0.28589,0,0.28589,2
0.32,0.303031,0,0.303031,2
0.33,0.330001,0,0.330001,3
0.34,0.356701,0,0.356701,3
0.35,0.383134,0,0.383134,3
0.36,0.409302,0,0.409302,3
0.37,0.435209,0,0.435209,3
0.38,0.460857,0,0.460857,3
0.39,0.486249,0,0.486249,3
0.4,0.511386,0,0.511386,3
0.41,0.536272,0,0.536272,3
0.42,0.56091,0,0.56091,3
0.43,0.585301,0,0.585301,3
0.44,0.619448,0,0.619448,4
0.45,0.653253,0,0.653253,4
0.46,0.686721,0,0.686721,4
0.47,0.719853,0,0.719853,4
0.48,0.752655,0,0.752655,4
0.49,0.785128,0,0.785128,4
0.5,0.817277,0,0.817277,4
0.51,0.849104,0,0.849104,4
0.52,0.880613,0,0.880613,4
0.53,0.911807,0,0.911807,4
0.54,0.942689,0,0.942689,4
0.55,0.983262,0,0.983262,5
0.56,1.02343,0,1.02343,5
0.57,1.0632,0,1.0632,5
0.58,1.10256,0,1.10256,5
0.59,1.14154,0,1.14154,5
0.6,1.18012,0,1.18012,5
0.61,1.21832,0,1.21832,5
0.62,1.25614,0,1.25614,5
0.63,1.29358,0,1.29358,5
0.64,1.33064,0,1.33064,5
0.65,1.36733,0,1.36733,5
0.66,1.41366,0,1.41366,6
0.67,1.45952,0,1.45952,6
0.68,1.50493,0,1.50493,6
0.69,1.54988,0,1.54988,6
0.7,1.59438,0,1.59438,6
0.71,1.63844,0,1.63844,6
0.72,1.68205,0,1.68205,6
0.73,1.72523,0,1.72523,6
0.74,1.76798,0,1.76798,6
0.75,1.8103,0,1.8103,6
0.76,1.8522,0,1.8522,6
0.77,1.90368,0,1.90368,7
0.78,1.95464,0,1.95464,7
0.79,2.00509,0,2.00509,7
0.8,2.05504,0,2.05504,6
0.81,2.10449,0,2.10449,6
0.82,2.15345,0,2.15345,6
0.83,2.20191,0,2.20191,6
0.84,2.24989,0,2.24989,6
0.85,2.29739,0,2.29739,6
0.86,2.34442,0,2.34442,6
0.87,2.39098,0,2.39098,6
0.88,2.41707,0,2.41707,5
0.89,2.44289,0,2.44289,5
0.9,2.46847,0,2.46847,5
0.91,2.49378,0,2.49378,5
0.92,2.51884,0,2.51884,5
0.93,2.54365,0,2.54365,5
0.94,2.56822,0,2.56822,5
0.95,2.59254,0,2.59254,5
0.96,2.61661,0,2.61661,5
0.97,2.64044,0,2.64044,5
0.98,2.66404,0,2.66404,5
0.99,2.6774,0,2.6774,4
1,2.69063,0,2.69063,4
1.01,2.70372,0,2.70372,4
1.02,2.71668,0,2.71668,4
1.03,2.72952,0,2.72952,4
1.04,2.74222,0,2.74222,4
1.05,2.7548,0,2.7548,4
1.06,2.76725,0,2.76725,4
1.07,2.77958,0,2.77958,4
1.08,2.79178,0,2.79178,4
1.09,2.80386,0,2.80386,4
1.1,2.80583,0,2.80583,3
1.11,2.80777,0,2.80777,3
1.12,2.80969,0,2.80969,3
1.13,2.81159,0,2.81159,3
1.14,2.81348,0,2.81348,3
1.15,2.81534,0,2.81534,3
1.16,2.81719,0,2.81719,3
1.17,2.81902,0,2.81902,3
1.18,2.82083,0,2.82083,3
1.19,2.82262,0,2.82262,3
1.2,2.82439,0,2.82439,3
1.21,2.81615,0,2.81615,2
1.22,2.80799,0,2.80799,2
1.23,2.79991,0,2.79991,2
1.24,2.79191,0,2.79191,2
1.25,2.78399,0,2.78399,2
1.26,2.77615,0,2.77615,2
1.27,2.76839,0,2.76839,2
1.28,2.7607,0,2.7607,2
1.29,2.7531,0,2.7531,2
1.3,2.74557,0,2.74557,2
1.31,2.73811,0,2.73811,2
1.32,2.72073,0,2.72073,1
1.33,2.70352,0,2.70352,1
1.34,2.68649,0,2.68649,1
1.35,2.66962,0,2.66962,1
1.36,2.65293,0,2.65293,1
1.37,2.6364,0,2.6364,1
1.38,2.62003,0,2.62003,1
1.39,2.60383,0,2.60383,1
1.4,2.58779,0,2.58779,1
