time,x,r,x_r,u_r
1.41,2.57192,0,2.57192,1
1.42,2.5562,0,2.5562,1
1.43,2.53063,0,2.53063,0
1.44,2.50533,0,2.50533,0
1.45,2.48027,0,2.48027,0
1.46,2.45547,0,2.45547,0
1.47,2.43092,0,2.43092,0
1.48,2.40661,0,2.40661,0
1.49,2.38254,0,2.38254,0
1.5,2.35872,0,2.35872,0
1.51,2.33513,0,2.33513,0
1.52,2.31178,0,2.31178,0
1.53,2.28866,0,2.28866,0
1.54,2.25577,0,2.25577,-1
1.55,2.22322,0,2.22322,-1
1.56,2.19098,0,2.19098,-1
1.57,2.15907,0,2.15907,-1
1.58,2.12748,0,2.12748,-1
1.59,2.09621,0,2.09621,-1
1.6,2.06525,0,2.06525,-1
1.61,2.03459,0,2.03459,-1
1.62,2.00425,0,2.00425,-1
1.63,1.97421,0,1.97421,-1
1.64,1.94446,0,1.94446,0
1.65,1.93502,0,1.93502,1
1.66,1.92567,0,1.92567,1
1.67,1.91641,0,1.91641,1
1.68,1.90725,0,1.90725,1
1.69,1.89818,0,1.89818,1
1.7,1.88919,0,1.88919,1
1.71,1.8803,0,1.8803,1
1.72,1.8715,0,1.8715,1
1.73,1.86278,0,1.86278,1
1.74,1.85416,0,1.85416,1
1.75,1.84561,0,1.84561,1
1.76,1.84716,0,1.84716,2
1.77,1.84869,0,1.84869,2
1.78,1.8502,0,1.8502,2
1.79,1.8517,0,1.8517,2
1.8,1.85318,0,1.85318,2
1.81,1.85465,0,1.85465,2
1.82,1.8561,0,1.8561,2
1.83,1.85754,0,1.85754,2
1.84,1.85897,0,1.85897,2
1.85,1.86038,0,1.86038,2
1.86,1.86177,0,1.86177,2
1.87,1.87315,0,1.87315,3
1.88,1.88442,0,1.88442,3
1.89,1.89558,0,1.89558,3
1.9,1.90662,0,1.90662,3
1.91,1.91756,0,1.91756,3
1.92,1.92838,0,1.92838,3
1.93,1.9391,0,1.9391,3
1.94,1.94971,0,1.94971,3
1.95,1.96021,0,1.96021,3
1.96,1.97061,0,1.97061,3
1.97,1.9809,0,1.9809,3
1.98,2.00109,0,2.00109,4
1.99,2.02108,0,2.02108,3
2,2.04087,0,2.04087,3
2.01,2.06046,0,2.06046,3
2.02,2.07986,0,2.07986,3
2.03,2.09906,0,2.09906,3
2.04,2.11807,0,2.11807,3
2.05,2.13689,0,2.13689,3
2.06,2.15552,0,2.15552,3
2.07,2.17396,0,2.17396,3
2.08,2.19222,0,2.19222,3
2.09,2.1903,0,2.1903,2
2.1,2.1884,0,2.1884,2
2.11,2.18651,0,2.18651,2
2.12,2.18465,0,2.18465,2
2.13,2.1828,0,2.1828,2
2.14,2.18097,0,2.18097,2
2.15,2.17917,0,2.17917,2
2.16,2.17737,0,2.17737,2
2.17,2.1756,0,2.1756,2
2.18,2.17384,0,2.17384,2
2.19,2.17211,0,2.17211,2
2.2,2.16038,0,2.16038,1
2.21,2.14878,0,2.14878,1
2.22,2.13729,0,2.13729,1
2.23,2.12592,0,2.12592,1
2.24,2.11466,0,2.11466,1
2.25,2.10351,0,2.10351,1
2.26,2.09248,0,2.09248,1
2.27,2.08155,0,2.08155,1
2.28,2.07074,0,2.07074,1
2.29,2.06003,0,2.06003,1
2.3,2.04943,0,2.04943,1
2.31,2.02894,0,2.02894,0
2.32,2.00865,0,2.00865,0
2.33,1.98856,0,1.98856,0
2.34,1.96867,0,1.96867,1
2.35,1.94899,0,1.94899,1
2.36,1.9295,0,1.9295,1
2.37,1.9102,0,1.9102,1
2.38,1.8911,0,1.8911,1
2.39,1.87219,0,1.87219,1
2.4,1.85347,0,1.85347,1
2.41,1.83493,0,1.83493,1
2.42,1.83658,0,1.83658,2
2.43,1.83822,0,1.83822,2
2.44,1.83984,0,1.83984,2
2.45,1.84144,0,1.84144,2
2.46,1.84302,0,1.84302,2
2.47,1.84459,0,1.84459,2
2.48,1.84615,0,1.84615,2
2.49,1.84769,0,1.84769,2
2.5,1.84921,0,1.84921,2
2.51,1.85072,0,1.85072,2
2.52,1.85221,0,1.85221,2
2.53,1.86369,0,1.86369,3
2.54,1.87505,0,1.87505,3
2.55,1.8863,0,1.8863,3
2.56,1.89744,0,1.89744,3
2.57,1.90846,0,1.90846,3
2.58,1.91938,0,1.91938,3
2.59,1.93018,0,1.93018,3
2.6,1.94088,0,1.94088,3
2.61,1.95147,0,1.95147,3
2.62,1.96196,0,1.96196,3
2.63,1.97234,0,1.97234,3
2.64,1.99262,0,1.99262,4
2.65,2.01269,0,2.01269,4
2.66,2.03256,0,2.03256,3
2.67,2.05224,0,2.05224,3
2.68,2.07172,0,2.07172,3
2.69,2.091,0,2.091,3
2.7,2.11009,0,2.11009,3
2.71,2.12899,0,2.12899,3
2.72,2.1477,0,2.1477,3
2.73,2.16622,0,2.16622,3
2.74,2.18456,0,2.18456,3
2.75,2.18271,0,2.18271,2
2.76,2.18089,0,2.18089,2
2.77,2.17908,0,2.17908,2
2.78,2.17729,0,2.17729,2
2.79,2.17551,0,2.17551,2
2.8,2.17376,0,2.17376,2
2.81,2.17202,0,2.17202,2
2.82,2.1703,0,2.1703,2
2.83,2.1686,0,2.1686,2
2.84,2.16691,0,2.16691,2
2.85,2.16524,0,2.16524,2
2.86,2.15359,0,2.15359,1
2.87,2.14205,0,2.14205,1
2.88,2.13063,0,2.13063,1
2.89,2.11933,0,2.11933,1
2.9,2.10813,0,2.10813,1
2.91,2.09705,0,2.09705,1
2.92,2.08608,0,2.08608,1
2.93,2.07522,0,2.07522,1
2.94,2.06447,0,2.06447,1
2.95,2.05382,0,2.05382,1
2.96,2.04329,0,2.04329,1
2.97,2.02285,0,2.02285,0
2.98,2.00262,0,2.00262,0
2.99,1.9826,0,1.9826,0
3,1.96277,0,1.96277,1
3.01,1.94314,0,1.94314,1
3.02,1.92371,0,1.92371,1
3.03,1.90448,0,1.90448,1
3.04,1.88543,0,1.88543,1
3.05,1.86658,0,1.86658,1
3.06,1.84791,0,1.84791,1
3.07,1.82943,0,1.82943,1
3.08,1.83114,0,1.83114,2
3.09,1.83283,0,1.83283,2
3.1,1.8345,0,1.8345,2
3.11,1.83615,0,1.83615,2
3.12,1.83779,0,1.83779,2
3.13,1.83941,0,1.83941,2
3.14,1.84102,0,1.84102,2
3.15,1.84261,0,1.84261,2
3.16,1.84418,0,1.84418,2
3.17,1.84574,0,1.84574,2
3.18,1.84728,0,1.84728,2
3.19,1.85881,0,1.85881,3
3.2,1.87022,0,1.87022,3
3.21,1.88152,0,1.88152,3
3.22,1.89271,0,1.89271,3
3.23,1.90378,0,1.90378,3
3.24,1.91474,0,1.91474,3
3.25,1.92559,0,1.92559,3
3.26,1.93634,0,1.93634,3
3.27,1.94697,0,1.94697,3
3.28,1.9575,0,1.9575,3
3.29,1.96793,0,1.96793,3
3.3,1.98825,0,1.98825,4
3.31,2.00837,0,2.00837,4
3.32,2.02828,0,2.02828,3
3.33,2.048,0,2.048,3
3.34,2.06752,0,2.06752,3
3.35,2.08685,0,2.08685,3
3.36,2.10598,0,2.10598,3
3.37,2.12492,0,2.12492,3
3.38,2.14367,0,2.14367,3
3.39,2.16223,0,2.16223,3
3.4,2.18061,0,2.18061,3
3.41,2.1788,0,2.1788,2
3.42,2.17701,0,2.17701,2
3.43,2.17524,0,2.17524,2
3.44,2.17349,0,2.17349,2
3.45,2.17176,0,2.17176,2
3.46,2.17004,0,2.17004,2
3.47,2.16834,0,2.16834,2
3.48,2.16666,0,2.16666,2
3.49,2.16499,0,2.16499,2
3.5,2.16334,0,2.16334,2
3.51,2.16171,0,2.16171,2
3.52,2.15009,0,2.15009,1
3.53,2.13859,0,2.13859,1
3.54,2.1272,0,2.1272,1
3.55,2.11593,0,2.11593,1
3.56,2.10477,0,2.10477,1
3.57,2.09372,0,2.09372,1
3.58,2.08279,0,2.08279,1
3.59,2.07196,0,2.07196,1
3.6,2.06124,0,2.06124,1
3.61,2.05063,0,2.05063,1
3.62,2.04012,0,2.04012,1
3.63,2.01972,0,2.01972,0
3.64,1.99952,0,1.99952,0
3.65,1.97953,0,1.97953,1
3.66,1.95973,0,1.95973,1
3.67,1.94013,0,1.94013,1
3.68,1.92073,0,1.92073,1
3.69,1.90153,0,1.90153,1
3.7,1.88251,0,1.88251,1
3.71,1.86368,0,1.86368,1
3.72,1.84505,0,1.84505,1
3.73,1.8266,0,1.8266,1
3.74,1.82833,0,1.82833,2
3.75,1.83005,0,1.83005,2
3.76,1.83175,0,1.83175,2
3.77,1.83343,0,1.83343,2
3.78,1.8351,0,1.8351,2
3.79,1.83675,0,1.83675,2
3.8,1.83838,0,1.83838,2
3.81,1.83999,0,1.83999,2
3.82,1.84159,0,1.84159,2
3.83,1.84318,0,1.84318,2
3.84,1.84475,0,1.84475,2
3.85,1.8563,0,1.8563,3
3.86,1.86774,0,1.86774,3
3.87,1.87906,0,1.87906,3
3.88,1.89027,0,1.89027,3
3.89,1.90137,0,1.90137,3
3.9,1.91235,0,1.91235,3
3.91,1.92323,0,1.92323,3
3.92,1.934,0,1.934,3
3.93,1.94466,0,1.94466,3
3.94,1.95521,0,1.95521,3
3.95,1.96566,0,1.96566,3
3.96,1.986,0,1.986,4
3.97,2.00614,0,2.00614,4
3.98,2.02608,0,2.02608,3
3.99,2.04582,0,2.04582,3
4,2.06536,0,2.06536,3
4.01,2.08471,0,2.08471,3
4.02,2.10386,0,2.10386,3
4.03,2.12282,0,2.12282,3
4.04,2.14159,0,2.14159,3
4.05,2.16018,0,2.16018,3
4.06,2.17857,0,2.17857,3
4.07,2.17679,0,2.17679,2
4.08,2.17502,0,2.17502,2
4.09,2.17327,0,2.17327,2
4.1,2.17154,0,2.17154,2
4.11,2.16982,0,2.16982,2
4.12,2.16812,0,2.16812,2
4.13,2.16644,0,2.16644,2
4.14,2.16478,0,2.16478,2
4.15,2.16313,0,2.16313,2
4.16,2.1615,0,2.1615,2
4.17,2.15988,0,2.15988,2
4.18,2.14829,0,2.14829,1
4.19,2.1368,0,2.1368,1
4.2,2.12544,0,2.12544,1
4.21,2.11418,0,2.11418,1
4.22,2.10304,0,2.10304,1
4.23,2.09201,0,2.09201,1
4.24,2.08109,0,2.08109,1
4.25,2.07028,0,2.07028,1
4.26,2.05957,0,2.05957,1
4.27,2.04898,0,2.04898,1
4.28,2.03849,0,2.03849,1
4.29,2.0181,0,2.0181,0
4.3,1.99792,0,1.99792,0
4.31,1.97794,0,1.97794,1
4.32,1.95816,0,1.95816,1
4.33,1.93858,0,1.93858,1
4.34,1.9192,0,1.9192,1
4.35,1.90001,0,1.90001,1
4.36,1.88101,0,1.88101,1
4.37,1.8622,0,1.8622,1
4.38,1.84357,0,1.84357,1
4.39,1.82514,0,1.82514,1
4.4,1.82689,0,1.82689,2
4.41,1.82862,0,1.82862,2
4.42,1.83033,0,1.83033,2
4.43,1.83203,0,1.83203,2
4.44,1.83371,0,1.83371,2
4.45,1.83537,0,1.83537,2
4.46,1.83702,0,1.83702,2
4.47,1.83865,0,1.83865,2
4.48,1.84026,0,1.84026,2
4.49,1.84186,0,1.84186,2
4.5,1.84344,0,1.84344,2
4.51,1.855,0,1.855,3
4.52,1.86645,0,1.86645,3
4.53,1.87779,0,1.87779,3
4.54,1.88901,0,1.88901,3
4.55,1.90012,0,1.90012,3
4.56,1.91112,0,1.91112,3
4.57,1.92201,0,1.92201,3
4.58,1.93279,0,1.93279,3
4.59,1.94346,0,1.94346,3
4.6,1.95403,0,1.95403,3
4.61,1.96449,0,1.96449,3
4.62,1.98484,0,1.98484,4
4.63,2.00499,0,2.00499,4
4.64,2.02494,0,2.02494,3
4.65,2.04469,0,2.04469,3
4.66,2.06425,0,2.06425,3
4.67,2.0836,0,2.0836,3
4.68,2.10277,0,2.10277,3
4.69,2.12174,0,2.12174,3
4.7,2.14052,0,2.14052,3
4.71,2.15912,0,2.15912,3
4.72,2.17753,0,2.17753,3
4.73,2.17575,0,2.17575,2
4.74,2.17399,0,2.17399,2
4.75,2.17225,0,2.17225,2
4.76,2.17053,0,2.17053,2
4.77,2.16883,0,2.16883,2
4.78,2.16714,0,2.16714,2
4.79,2.16547,0,2.16547,2
4.8,2.16381,0,2.16381,2
4.81,2.16217,0,2.16217,2
4.82,2.16055,0,2.16055,2
4.83,2.15895,0,2.15895,2
4.84,2.14736,0,2.14736,1
4.85,2.13588,0,2.13588,1
4.86,2.12452,0,2.12452,1
4.87,2.11328,0,2.11328,1
4.88,2.10215,0,2.10215,1
4.89,2.09113,0,2.09113,1
4.9,2.08021,0,2.08021,1
4.91,2.06941,0,2.06941,1
4.92,2.05872,0,2.05872,1
4.93,2.04813,0,2.04813,1
4.94,2.03765,0,2.03765,1
4.95,2.01727,0,2.01727,0
4.96,1.9971,0,1.9971,0
4.97,1.97713,0,1.97713,1
4.98,1.95736,0,1.95736,1
4.99,1.93778,0,1.93778,1
5,1.91841,0,1.91841,1
5.01,1.89922,0,1.89922,1
5.02,1.88023,0,1.88023,1
5.03,1.86143,0,1.86143,1
5.04,1.84281,0,1.84281,1
5.05,1.82439,0,1.82439,1
5.06,1.82614,0,1.82614,2
5.07,1.82788,0,1.82788,2
5.08,1.8296,0,1.8296,2
5.09,1.83131,0,1.83131,2
5.1,1.83299,0,1.83299,2
5.11,1.83466,0,1.83466,2
5.12,1.83632,0,1.83632,2
5.13,1.83795,0,1.83795,2
5.14,1.83957,0,1.83957,2
5.15,1.84118,0,1.84118,2
5.16,1.84277,0,1.84277,2
5.17,1.85434,0,1.85434,3
5.18,1.86579,0,1.86579,3
5.19,1.87714,0,1.87714,3
5.2,1.88837,0,1.88837,3
5.21,1.89948,0,1.89948,3
5.22,1.91049,0,1.91049,3
5.23,1.92138,0,1.92138,3
5.24,1.93217,0,1.93217,3
5.25,1.94285,0,1.94285,3
5.26,1.95342,0,1.95342,3
5.27,1.96388,0,1.96388,3
5.28,1.98424,0,1.98424,4
5.29,2.0044,0,2.0044,4
5.3,2.02436,0,2.02436,3
5.31,2.04411,0,2.04411,3
5.32,2.06367,0,2.06367,3
5.33,2.08304,0,2.08304,3
5.34,2.10221,0,2.10221,3
5.35,2.12118,0,2.12118,3
5.36,2.13997,0,2.13997,3
5.37,2.15857,0,2.15857,3
5.38,2.17699,0,2.17699,3
5.39,2.17522,0,2.17522,2
5.4,2.17347,0,2.17347,2
5.41,2.17173,0,2.17173,2
5.42,2.17001,0,2.17001,2
5.43,2.16831,0,2.16831,2
5.44,2.16663,0,2.16663,2
5.45,2.16496,0,2.16496,2
5.46,2.16331,0,2.16331,2
5.47,2.16168,0,2.16168,2
5.48,2.16006,0,2.16006,2
5.49,2.15846,0,2.15846,2
5.5,2.14688,0,2.14688,1
5.51,2.13541,0,2.13541,1
5.52,2.12406,0,2.12406,1
5.53,2.11282,0,2.11282,1
5.54,2.10169,0,2.10169,1
5.55,2.09067,0,2.09067,1
5.56,2.07976,0,2.07976,1
5.57,2.06897,0,2.06897,1
5.58,2.05828,0,2.05828,1
5.59,2.04769,0,2.04769,1
5.6,2.03722,0,2.03722,1
5.61,2.01684,0,2.01684,0
5.62,1.99668,0,1.99668,0
5.63,1.97671,0,1.97671,1
5.64,1.95694,0,1.95694,1
5.65,1.93737,0,1.93737,1
5.66,1.918,0,1.918,1
5.67,1.89882,0,1.89882,1
5.68,1.87983,0,1.87983,1
5.69,1.86103,0,1.86103,1
5.7,1.84242,0,1.84242,1
5.71,1.824,0,1.824,1
5.72,1.82576,0,1.82576,2
5.73,1.8275,0,1.8275,2
5.74,1.82923,0,1.82923,2
5.75,1.83093,0,1.83093,2
5.76,1.83262,0,1.83262,2
5.77,1.8343,0,1.8343,2
5.78,1.83595,0,1.83595,2
5.79,1.8376,0,1.8376,2
5.8,1.83922,0,1.83922,2
5.81,1.84083,0,1.84083,2
5.82,1.84242,0,1.84242,2
5.83,1.85399,0,1.85399,3
5.84,1.86545,0,1.86545,3
5.85,1.8768,0,1.8768,3
5.86,1.88803,0,1.88803,3
5.87,1.89915,0,1.89915,3
5.88,1.91016,0,1.91016,3
5.89,1.92106,0,1.92106,3
5.9,1.93185,0,1.93185,3
5.91,1.94253,0,1.94253,3
5.92,1.9531,0,1.9531,3
5.93,1.96357,0,1.96357,3
5.94,1.98394,0,1.98394,4
5.95,2.0041,0,2.0041,4
5.96,2.02406,0,2.02406,3
5.97,2.04382,0,2.04382,3
5.98,2.06338,0,2.06338,3
5.99,2.08274,0,2.08274,3
6,2.10192,0,2.10192,3
6.01,2.1209,0,2.1209,3
6.02,2.13969,0,2.13969,3
6.03,2.15829,0,2.15829,3
6.04,2.17671,0,2.17671,3
6.05,2.17494,0,2.17494,2
6.06,2.17319,0,2.17319,2
6.07,2.17146,0,2.17146,2
6.08,2.16975,0,2.16975,2
6.09,2.16805,0,2.16805,2
6.1,2.16637,0,2.16637,2
6.11,2.1647,0,2.1647,2
6.12,2.16306,0,2.16306,2
6.13,2.16143,0,2.16143,2
6.14,2.15981,0,2.15981,2
6.15,2.15821,0,2.15821,2
6.16,2.14663,0,2.14663,1
6.17,2.13517,0,2.13517,1
6.18,2.12381,0,2.12381,1
6.19,2.11258,0,2.11258,1
6.2,2.10145,0,2.10145,1
6.21,2.09044,0,2.09044,1
6.22,2.07953,0,2.07953,1
6.23,2.06874,0,2.06874,1
6.24,2.05805,0,2.05805,1
6.25,2.04747,0,2.04747,1
6.26,2.03699,0,2.03699,1
6.27,2.01662,0,2.01662,0
6.28,1.99646,0,1.99646,0
6.29,1.97649,0,1.97649,1
6.3,1.95673,0,1.95673,1
6.31,1.93716,0,1.93716,1
6.32,1.91779,0,1.91779,1
6.33,1.89861,0,1.89861,1
6.34,1.87963,0,1.87963,1
6.35,1.86083,0,1.86083,1
6.36,1.84222,0,1.84222,1
6.37,1.8238,0,1.8238,1
6.38,1.82556,0,1.82556,2
6.39,1.8273,0,1.8273,2
6.4,1.82903,0,1.82903,2
6.41,1.83074,0,1.83074,2
6.42,1.83243,0,1.83243,2
6.43,1.83411,0,1.83411,2
6.44,1.83577,0,1.83577,2
6.45,1.83741,0,1.83741,2
6.46,1.83904,0,1.83904,2
6.47,1.84065,0,1.84065,2
6.48,1.84224,0,1.84224,2
6.49,1.85382,0,1.85382,3
6.5,1.86528,0,1.86528,3
6.51,1.87663,0,1.87663,3
6.52,1.88786,0,1.88786,3
6.53,1.89898,0,1.89898,3
6.54,1.90999,0,1.90999,3
6.55,1.92089,0,1.92089,3
6.56,1.93168,0,1.93168,3
6.57,1.94237,0,1.94237,3
6.58,1.95294,0,1.95294,3
6.59,1.96341,0,1.96341,3
6.6,1.98378,0,1.98378,4
6.61,2.00394,0,2.00394,4
6.62,2.0239,0,2.0239,3
6.63,2.04366,0,2.04366,3
6.64,2.06323,0,2.06323,3
6.65,2.08259,0,2.08259,3
6.66,2.10177,0,2.10177,3
6.67,2.12075,0,2.12075,3
6.68,2.13954,0,2.13954,3
6.69,2.15815,0,2.15815,3
6.7,2.17657,0,2.17657,3
6.71,2.1748,0,2.1748,2
6.72,2.17305,0,2.17305,2
6.73,2.17132,0,2.17132,2
6.74,2.16961,0,2.16961,2
6.75,2.16791,0,2.16791,2
6.76,2.16623,0,2.16623,2
6.77,2.16457,0,2.16457,2
6.78,2.16293,0,2.16293,2
6.79,2.1613,0,2.1613,2
6.8,2.15968,0,2.15968,2
6.81,2.15809,0,2.15809,2
6.82,2.14651,0,2.14651,1
6.83,2.13504,0,2.13504,1
6.84,2.12369,0,2.12369,1
6.85,2.11245,0,2.11245,1
6.86,2.10133,0,2.10133,1
6.87,2.09032,0,2.09032,1
6.88,2.07941,0,2.07941,1
6.89,2.06862,0,2.06862,1
6.9,2.05793,0,2.05793,1
6.91,2.04735,0,2.04735,1
6.92,2.03688,0,2.03688,1
6.93,2.01651,0,2.01651,0
6.94,1.99634,0,1.99634,0
6.95,1.97638,0,1.97638,1
6.96,1.95662,0,1.95662,1
6.97,1.93705,0,1.93705,1
6.98,1.91768,0,1.91768,1
6.99,1.8985,0,1.8985,1
7,1.87952,0,1.87952,1
7.01,1.86072,0,1.86072,1
7.02,1.84212,0,1.84212,1
7.03,1.8237,0,1.8237,1
7.04,1.82546,0,1.82546,2
7.05,1.8272,0,1.8272,2
7.06,1.82893,0,1.82893,2
7.07,1.83064,0,1.83064,2
7.08,1.83234,0,1.83234,2
7.09,1.83401,0,1.83401,2
7.1,1.83567,0,1.83567,2
7.11,1.83732,0,1.83732,2
7.12,1.83894,0,1.83894,2
7.13,1.84055,0,1.84055,2
7.14,1.84215,0,1.84215,2
7.15,1.85373,0,1.85373,3
7.16,1.86519,0,1.86519,3
7.17,1.87654,0,1.87654,3
7.18,1.88777,0,1.88777,3
7.19,1.89889,0,1.89889,3
7.2,1.90991,0,1.90991,3
7.21,1.92081,0,1.92081,3
7.22,1.9316,0,1.9316,3
7.23,1.94228,0,1.94228,3
7.24,1.95286,0,1.95286,3
7.25,1.96333,0,1.96333,3
7.26,1.9837,0,1.9837,4
7.27,2.00386,0,2.00386,4
7.28,2.02382,0,2.02382,3
7.29,2.04358,0,2.04358,3
7.3,2.06315,0,2.06315,3
7.31,2.08252,0,2.08252,3
7.32,2.10169,0,2.10169,3
7.33,2.12067,0,2.12067,3
7.34,2.13947,0,2.13947,3
7.35,2.15807,0,2.15807,3
7.36,2.17649,0,2.17649,3
7.37,2.17473,0,2.17473,2
7.38,2.17298,0,2.17298,2
7.39,2.17125,0,2.17125,2
7.4,2.16954,0,2.16954,2
7.41,2.16784,0,2.16784,2
7.42,2.16616,0,2.16616,2
7.43,2.1645,0,2.1645,2
7.44,2.16286,0,2.16286,2
7.45,2.16123,0,2.16123,2
7.46,2.15962,0,2.15962,2
7.47,2.15802,0,2.15802,2
7.48,2.14644,0,2.14644,1
7.49,2.13498,0,2.13498,1
7.5,2.12363,0,2.12363,1
7.51,2.11239,0,2.11239,1
7.52,2.10127,0,2.10127,1
7.53,2.09025,0,2.09025,1
7.54,2.07935,0,2.07935,1
7.55,2.06856,0,2.06856,1
7.56,2.05787,0,2.05787,1
7.57,2.04729,0,2.04729,1
7.58,2.03682,0,2.03682,1
7.59,2.01645,0,2.01645,0
7.6,1.99629,0,1.99629,0
7.61,1.97632,0,1.97632,1
7.62,1.95656,0,1.95656,1
7.63,1.937,0,1.937,1
7.64,1.91763,0,1.91763,1
7.65,1.89845,0,1.89845,1
7.66,1.87946,0,1.87946,1
7.67,1.86067,0,1.86067,1
7.68,1.84206,0,1.84206,1
7.69,1.82364,0,1.82364,1
7.7,1.82541,0,1.82541,2
7.71,1.82715,0,1.82715,2
7.72,1.82888,0,1.82888,2
7.73,1.83059,0,1.83059,2
7.74,1.83229,0,1.83229,2
7.75,1.83396,0,1.83396,2
7.76,1.83562,0,1.83562,2
7.77,1.83727,0,1.83727,2
7.78,1.83889,0,1.83889,2
7.79,1.84051,0,1.84051,2
