time,h,v
0,1,0
0.001,1,-0.00981
0.002,0.99999,-0.01962
0.003,0.999971,-0.02943
0.004,0.999941,-0.03924
0.005,0.999902,-0.04905
0.006,0.999853,-0.05886
0.007,0.999794,-0.06867
0.008,0.999725,-0.07848
0.009,0.999647,-0.08829
0.01,0.999559,-0.0981
0.011,0.99946,-0.10791
0.012,0.999353,-0.11772
0.013,0.999235,-0.12753
0.014,0.999107,-0.13734
0.015,0.99897,-0.14715
0.016,0.998823,-0.15696
0.017,0.998666,-0.16677
0.018,0.998499,-0.17658
0.019,0.998322,-0.18639
0.02,0.998136,-0.1962
0.021,0.99794,-0.20601
0.022,0.997734,-0.21582
0.023,0.997518,-0.22563
0.024,0.997292,-0.23544
0.025,0.997057,-0.24525
0.026,0.996812,-0.25506
0.027,0.996557,-0.26487
0.028,0.996292,-0.27468
0.029,0.996017,-0.28449
0.03,0.995733,-0.2943
0.031,0.995438,-0.30411
0.032,0.995134,-0.31392
0.033,0.99482,-0.32373
0.034,0.994497,-0.33354
0.035,0.994163,-0.34335
0.036,0.99382,-0.35316
0.037,0.993467,-0.36297
0.038,0.993104,-0.37278
0.039,0.992731,-0.38259
0.04,0.992348,-0.3924
0.041,0.991956,-0.40221
0.042,0.991554,-0.41202
0.043,0.991142,-0.42183
0.044,0.99072,-0.43164
0.045,0.990288,-0.44145
0.046,0.989847,-0.45126
0.047,0.989395,-0.46107
0.048,0.988934,-0.47088
0.049,0.988463,-0.48069
0.05,0.987983,-0.4905
0.051,0.987492,-0.50031
0.052,0.986992,-0.51012
0.053,0.986482,-0.51993
0.054,0.985962,-0.52974
0.055,0.985432,-0.53955
0.056,0.984893,-0.54936
0.057,0.984343,-0.55917
0.058,0.983784,-0.56898
0.059,0.983215,-0.57879
0.06,0.982636,-0.5886
0.061,0.982048,-0.59841
0.062,0.981449,-0.60822
0.063,0.980841,-0.61803
0.064,0.980223,-0.62784
0.065,0.979595,-0.63765
0.066,0.978958,-0.64746
0.067,0.97831,-0.65727
0.068,0.977653,-0.66708
0.069,0.976986,-0.67689
0.07,0.976309,-0.6867
0.071,0.975622,-0.69651
0.072,0.974926,-0.70632
0.073,0.974219,-0.71613
0.074,0.973503,-0.72594
0.075,0.972777,-0.73575
0.076,0.972042,-0.74556
0.077,0.971296,-0.75537
0.078,0.970541,-0.76518
0.079,0.969775,-0.77499
0.08,0.969,-0.7848
0.081,0.968216,-0.79461
0.082,0.967421,-0.80442
0.083,0.966617,-0.81423
0.084,0.965802,-0.82404
0.085,0.964978,-0.83385
0.086,0.964144,-0.84366
0.087,0.963301,-0.85347
0.088,0.962447,-0.86328
0.089,0.961584,-0.87309
0.09,0.960711,-0.8829
0.091,0.959828,-0.89271
0.092,0.958935,-0.90252
0.093,0.958033,-0.91233
0.094,0.95712,-0.92214
0.095,0.956198,-0.93195
0.096,0.955266,-0.94176
0.097,0.954325,-0.95157
0.098,0.953373,-0.96138
0.099,0.952412,-0.97119
0.1,0.951441,-0.981
0.101,0.95046,-0.99081
0.102,0.949469,-1.00062
0.103,0.948468,-1.01043
0.104,0.947458,-1.02024
0.105,0.946437,-1.03005
0.106,0.945407,-1.03986
0.107,0.944367,-1.04967
0.108,0.943318,-1.05948
0.109,0.942258,-1.06929
0.11,0.941189,-1.0791
0.111,0.94011,-1.08891
0.112,0.939021,-1.09872
0.113,0.937922,-1.10853
0.114,0.936814,-1.11834
0.115,0.935695,-1.12815
0.116,0.934567,-1.13796
0.117,0.933429,-1.14777
0.118,0.932282,-1.15758
0.119,0.931124,-1.16739
0.12,0.929957,-1.1772
0.121,0.928779,-1.18701
0.122,0.927592,-1.19682
0.123,0.926396,-1.20663
0.124,0.925189,-1.21644
0.125,0.923973,-1.22625
0.126,0.922746,-1.23606
0.127,0.92151,-1.24587
0.128,0.920264,-1.25568
0.129,0.919009,-1.26549
0.13,0.917743,-1.2753
0.131,0.916468,-1.28511
0.132,0.915183,-1.29492
0.133,0.913888,-1.30473
0.134,0.912583,-1.31454
0.135,0.911269,-1.32435
0.136,0.909944,-1.33416
