time,h,v
0.137,0.90861,-1.34397
0.138,0.907266,-1.35378
0.139,0.905912,-1.36359
0.14,0.904549,-1.3734
0.141,0.903175,-1.38321
0.142,0.901792,-1.39302
0.143,0.900399,-1.40283
0.144,0.898996,-1.41264
0.145,0.897584,-1.42245
0.146,0.896161,-1.43226
0.147,0.894729,-1.44207
0.148,0.893287,-1.45188
0.149,0.891835,-1.46169
0.15,0.890373,-1.4715
0.151,0.888902,-1.48131
0.152,0.88742,-1.49112
0.153,0.885929,-1.50093
0.154,0.884428,-1.51074
0.155,0.882918,-1.52055
0.156,0.881397,-1.53036
0.157,0.879867,-1.54017
0.158,0.878327,-1.54998
0.159,0.876777,-1.55979
0.16,0.875217,-1.5696
0.161,0.873647,-1.57941
0.162,0.872068,-1.58922
0.163,0.870479,-1.59903
0.164,0.86888,-1.60884
0.165,0.867271,-1.61865
0.166,0.865652,-1.62846
0.167,0.864024,-1.63827
0.168,0.862385,-1.64808
0.169,0.860737,-1.65789
0.17,0.859079,-1.6677
0.171,0.857412,-1.67751
0.172,0.855734,-1.68732
0.173,0.854047,-1.69713
0.174,0.85235,-1.70694
0.175,0.850643,-1.71675
0.176,0.848926,-1.72656
0.177,0.847199,-1.73637
0.178,0.845463,-1.74618
0.179,0.843717,-1.75599
0.18,0.841961,-1.7658
0.181,0.840195,-1.77561
0.182,0.838419,-1.78542
0.183,0.836634,-1.79523
0.184,0.834839,-1.80504
0.185,0.833034,-1.81485
0.186,0.831219,-1.82466
0.187,0.829394,-1.83447
0.188,0.82756,-1.84428
0.189,0.825716,-1.85409
0.19,0.823861,-1.8639
0.191,0.821998,-1.87371
0.192,0.820124,-1.88352
0.193,0.81824,-1.89333
0.194,0.816347,-1.90314
0.195,0.814444,-1.91295
0.196,0.812531,-1.92276
0.197,0.810608,-1.93257
0.198,0.808676,-1.94238
0.199,0.806733,-1.95219
0.2,0.804781,-1.962
0.201,0.802819,-1.97181
0.202,0.800847,-1.98162
0.203,0.798866,-1.99143
0.204,0.796874,-2.00124
0.205,0.794873,-2.01105
0.206,0.792862,-2.02086
0.207,0.790841,-2.03067
0.208,0.78881,-2.04048
0.209,0.78677,-2.05029
0.21,0.78472,-2.0601
0.211,0.782659,-2.06991
0.212,0.78059,-2.07972
0.213,0.77851,-2.08953
0.214,0.77642,-2.09934
0.215,0.774321,-2.10915
0.216,0.772212,-2.11896
0.217,0.770093,-2.12877
0.218,0.767964,-2.13858
0.219,0.765825,-2.14839
0.22,0.763677,-2.1582
0.221,0.761519,-2.16801
0.222,0.759351,-2.17782
0.223,0.757173,-2.18763
0.224,0.754985,-2.19744
0.225,0.752788,-2.20725
0.226,0.750581,-2.21706
0.227,0.748364,-2.22687
0.228,0.746137,-2.23668
0.229,0.7439,-2.24649
0.23,0.741654,-2.2563
0.231,0.739397,-2.26611
0.232,0.737131,-2.27592
0.233,0.734855,-2.28573
0.234,0.73257,-2.29554
0.235,0.730274,-2.30535
0.236,0.727969,-2.31516
0.237,0.725654,-2.32497
0.238,0.723329,-2.33478
0.239,0.720994,-2.34459
0.24,0.718649,-2.3544
0.241,0.716295,-2.36421
0.242,0.713931,-2.37402
0.243,0.711557,-2.38383
0.244,0.709173,-2.39364
0.245,0.706779,-2.40345
0.246,0.704376,-2.41326
0.247,0.701962,-2.42307
0.248,0.699539,-2.43288
0.249,0.697106,-2.44269
0.25,0.694664,-2.4525
0.251,0.692211,-2.46231
0.252,0.689749,-2.47212
0.253,0.687277,-2.48193
0.254,0.684795,-2.49174
0.255,0.682303,-2.50155
0.256,0.679802,-2.51136
0.257,0.67729,-2.52117
0.258,0.674769,-2.53098
0.259,0.672238,-2.54079
0.26,0.669697,-2.5506
0.261,0.667147,-2.56041
0.262,0.664586,-2.57022
0.263,0.662016,-2.58003
0.264,0.659436,-2.58984
0.265,0.656846,-2.59965
0.266,0.654247,-2.60946
0.267,0.651637,-2.61927
0.268,0.649018,-2.62908
0.269,0.646389,-2.63889
0.27,0.64375,-2.6487
0.271,0.641101,-2.65851
0.272,0.638443,-2.66832
0.273,0.635774,-2.67813
0.274,0.633096,-2.68794
0.275,0.630408,-2.69775
0.276,0.627711,-2.70756
0.277,0.625003,-2.71737
0.278,0.622286,-2.72718
0.279,0.619558,-2.73699
0.28,0.616821,-2.7468
0.281,0.614075,-2.75661
0.282,0.611318,-2.76642
0.283,0.608552,-2.77623
0.284,0.605775,-2.78604
0.285,0.602989,-2.79585
0.286,0.600193,-2.80566
0.287,0.597388,-2.81547
0.288,0.594572,-2.82528
0.289,0.591747,-2.83509
0.29,0.588912,-2.8449
0.291,0.586067,-2.85471
0.292,0.583212,-2.86452
0.293,0.580348,-2.87433
0.294,0.577473,-2.88414
0.295,0.574589,-2.89395
0.296,0.571695,-2.90376
0.297,0.568792,-2.91357
0.298,0.565878,-2.92338
0.299,0.562955,-2.93319
0.3,0.560021,-2.943
0.301,0.557078,-2.95281
0.302,0.554126,-2.96262
0.303,0.551163,-2.97243
0.304,0.548191,-2.98224
0.305,0.545208,-2.99205
0.306,0.542216,-3.00186
0.307,0.539214,-3.01167
0.308,0.536203,-3.02148
0.309,0.533181,-3.03129
0.31,0.53015,-3.0411
0.311,0.527109,-3.05091
0.312,0.524058,-3.06072
0.313,0.520997,-3.07053
0.314,0.517927,-3.08034
0.315,0.514846,-3.09015
0.316,0.511756,-3.09996
0.317,0.508656,-3.10977
0.318,0.505547,-3.11958
0.319,0.502427,-3.12939
0.32,0.499298,-3.1392
0.321,0.496158,-3.14901
0.322,0.493009,-3.15882
0.323,0.489851,-3.16863
0.324,0.486682,-3.17844
0.325,0.483503,-3.18825
0.326,0.480315,-3.19806
0.327,0.477117,-3.20787
0.328,0.473909,-3.21768
0.329,0.470692,-3.22749
0.33,0.467464,-3.2373
0.331,0.464227,-3.24711
0.332,0.46098,-3.25692
0.333,0.457723,-3.26673
0.334,0.454456,-3.27654
0.335,0.45118,-3.28635
0.336,0.447893,-3.29616
0.337,0.444597,-3.30597
0.338,0.441291,-3.31578
0.339,0.437975,-3.32559
0.34,0.43465,-3.3354
0.341,0.431314,-3.34521
0.342,0.427969,-3.35502
0.343,0.424614,-3.36483
0.344,0.421249,-3.37464
0.345,0.417875,-3.38445
0.346,0.41449,-3.39426
0.347,0.411096,-3.40407
0.348,0.407692,-3.41388
0.349,0.404278,-3.42369
0.35,0.400854,-3.4335
0.351,0.397421,-3.44331
0.352,0.393977,-3.45312
0.353,0.390524,-3.46293
0.354,0.387061,-3.47274
0.355,0.383589,-3.48255
0.356,0.380106,-3.49236
0.357,0.376614,-3.50217
0.358,0.373112,-3.51198
0.359,0.3696,-3.52179
0.36,0.366078,-3.5316
0.361,0.362546,-3.54141
0.362,0.359005,-3.55122
0.363,0.355454,-3.56103
0.364,0.351893,-3.57084
0.365,0.348322,-3.58065
0.366,0.344741,-3.59046
0.367,0.341151,-3.60027
0.368,0.33755,-3.61008
0.369,0.33394,-3.61989
0.37,0.33032,-3.6297
0.371,0.326691,-3.63951
0.372,0.323051,-3.64932
0.373,0.319402,-3.65913
0.374,0.315743,-3.66894
0.375,0.312074,-3.67875
0.376,0.308395,-3.68856
0.377,0.304706,-3.69837
0.378,0.301008,-3.70818
0.379,0.2973,-3.71799
0.38,0.293582,-3.7278
0.381,0.289854,-3.73761
0.382,0.286116,-3.74742
0.383,0.282369,-3.75723
0.384,0.278612,-3.76704
0.385,0.274845,-3.77685
0.386,0.271068,-3.78666
0.387,0.267281,-3.79647
0.388,0.263485,-3.80628
0.389,0.259679,-3.81609
0.39,0.255862,-3.8259
0.391,0.252037,-3.83571
0.392,0.248201,-3.84552
0.393,0.244355,-3.85533
0.394,0.2405,-3.86514
0.395,0.236635,-3.87495
0.396,0.23276,-3.88476
0.397,0.228875,-3.89457
0.398,0.224981,-3.90438
0.399,0.221076,-3.91419
0.4,0.217162,-3.924
0.401,0.213238,-3.93381
0.402,0.209304,-3.94362
0.403,0.205361,-3.95343
0.404,0.201407,-3.96324
0.405,0.197444,-3.97305
0.406,0.193471,-3.98286
0.407,0.189488,-3.99267
0.408,0.185495,-4.00248
0.409,0.181493,-4.01229
0.41,0.177481,-4.0221
0.411,0.173458,-4.03191
0.412,0.169427,-4.04172
0.413,0.165385,-4.05153
0.414,0.161333,-4.06134
0.415,0.157272,-4.07115
0.416,0.153201,-4.08096
0.417,0.14912,-4.09077
0.418,0.145029,-4.10058
0.419,0.140928,-4.11039
0.42,0.136818,-4.1202
0.421,0.132698,-4.13001
0.422,0.128568,-4.13982
0.423,0.124428,-4.14963
0.424,0.120278,-4.15944
0.425,0.116119,-4.16925
0.426,0.11195,-4.17906
0.427,0.107771,-4.18887
0.428,0.103582,-4.19868
0.429,0.0993831,-4.20849
0.43,0.0951747,-4.2183
0.431,0.0909564,-4.22811
0.432,0.0867282,-4.23792
0.433,0.0824903,-4.24773
0.434,0.0782426,-4.25754
0.435,0.0739851,-4.26735
0.436,0.0697177,-4.27716
0.437,0.0654405,-4.28697
0.438,0.0611536,-4.29678
0.439,0.0568568,-4.30659
0.44,0.0525502,-4.3164
0.441,0.0482338,-4.32621
0.442,0.0439076,-4.33602
0.443,0.0395716,-4.34583
0.444,0.0352257,-4.35564
0.445,0.0308701,-4.36545
0.446,0.0265047,-4.37526
0.447,0.0221294,-4.38507
0.448,0.0177443,-4.39488
0.449,0.0133494,-4.40469
0.45,0.00894475,-4.4145
0.451,0.00453025,-4.42431
0.452,0.00010594,-4.43412
0.453,-0.00432818,-4.44393
0.453,0,3.11075
0.454,0.00311075,3.10094
0.455,0.00621169,3.09113
0.456,0.00930282,3.08132
0.457,0.0123841,3.07151
0.458,0.0154557,3.0617
0.459,0.0185174,3.05189
0.46,0.0215692,3.04208
0.461,0.0246113,3.03227
0.462,0.0276436,3.02246
0.463,0.0306661,3.01265
0.464,0.0336787,3.00284
0.465,0.0366816,2.99303
0.466,0.0396746,2.98322
0.467,0.0426578,2.97341
0.468,0.0456312,2.9636
0.469,0.0485948,2.95379
0.47,0.0515486,2.94398
0.471,0.0544926,2.93417
0.472,0.0574268,2.92436
0.473,0.0603511,2.91455
0.474,0.0632657,2.90474
0.475,0.0661704,2.89493
0.476,0.0690653,2.88512
0.477,0.0719505,2.87531
0.478,0.0748258,2.8655
0.479,0.0776913,2.85569
0.48,0.080547,2.84588
0.481,0.0833928,2.83607
0.482,0.0862289,2.82626
0.483,0.0890552,2.81645
0.484,0.0918716,2.80664
0.485,0.0946783,2.79683
0.486,0.0974751,2.78702
0.487,0.100262,2.77721
0.488,0.103039,2.7674
0.489,0.105807,2.75759
0.49,0.108564,2.74778
0.491,0.111312,2.73797
0.492,0.11405,2.72816
0.493,0.116778,2.71835
0.494,0.119497,2.70854
0.495,0.122205,2.69873
0.496,0.124904,2.68892
0.497,0.127593,2.67911
0.498,0.130272,2.6693
0.499,0.132941,2.65949
0.5,0.135601,2.64968
0.501,0.13825,2.63987
0.502,0.14089,2.63006
0.503,0.14352,2.62025
0.504,0.146141,2.61044
0.505,0.148751,2.60063
0.506,0.151352,2.59082
0.507,0.153942,2.58101
0.508,0.156523,2.5712
0.509,0.159095,2.56139
0.51,0.161656,2.55158
0.511,0.164208,2.54177
0.512,0.166749,2.53196
0.513,0.169281,2.52215
0.514,0.171804,2.51234
0.515,0.174316,2.50253
0.516,0.176818,2.49272
0.517,0.179311,2.48291
0.518,0.181794,2.4731
0.519,0.184267,2.46329
0.52,0.18673,2.45348
0.521,0.189184,2.44367
0.522,0.191628,2.43386
0.523,0.194061,2.42405
0.524,0.196485,2.41424
0.525,0.1989,2.40443
0.526,0.201304,2.39462
0.527,0.203699,2.38481
0.528,0.206084,2.375
0.529,0.208459,2.36519
0.53,0.210824,2.35538
0.531,0.213179,2.34557
0.532,0.215525,2.33576
0.533,0.21786,2.32595
0.534,0.220186,2.31614
0.535,0.222503,2.30633
0.536,0.224809,2.29652
0.537,0.227105,2.28671
0.538,0.229392,2.2769
0.539,0.231669,2.26709
0.54,0.233936,2.25728
0.541,0.236193,2.24747
0.542,0.238441,2.23766
0.543,0.240679,2.22785
0.544,0.242906,2.21804
0.545,0.245124,2.20823
0.546,0.247333,2.19842
0.547,0.249531,2.18861
0.548,0.25172,2.1788
0.549,0.253898,2.16899
0.55,0.256067,2.15918
0.551,0.258227,2.14937
0.552,0.260376,2.13956
0.553,0.262516,2.12975
0.554,0.264645,2.11994
0.555,0.266765,2.11013
0.556,0.268875,2.10032
0.557,0.270976,2.09051
0.558,0.273066,2.0807
0.559,0.275147,2.07089
0.56,0.277218,2.06108
0.561,0.279279,2.05127
0.562,0.28133,2.04146
0.563,0.283372,2.03165
0.564,0.285403,2.02184
0.565,0.287425,2.01203
0.566,0.289437,2.00222
0.567,0.291439,1.99241
0.568,0.293432,1.9826
0.569,0.295414,1.97279
0.57,0.297387,1.96298
0.571,0.29935,1.95317
0.572,0.301303,1.94336
0.573,0.303247,1.93355
0.574,0.30518,1.92374
0.575,0.307104,1.91393
0.576,0.309018,1.90412
0.577,0.310922,1.89431
0.578,0.312816,1.8845
0.579,0.314701,1.87469
0.58,0.316576,1.86488
0.581,0.31844,1.85507
0.582,0.320296,1.84526
0.583,0.322141,1.83545
0.584,0.323976,1.82564
0.585,0.325802,1.81583
0.586,0.327618,1.80602
0.587,0.329424,1.79621
0.588,0.33122,1.7864
0.589,0.333006,1.77659
0.59,0.334783,1.76678
0.591,0.33655,1.75697
0.592,0.338307,1.74716
0.593,0.340054,1.73735
0.594,0.341791,1.72754
0.595,0.343519,1.71773
0.596,0.345236,1.70792
0.597,0.346944,1.69811
0.598,0.348642,1.6883
0.599,0.350331,1.67849
0.6,0.352009,1.66868
0.601,0.353678,1.65887
0.602,0.355337,1.64906
0.603,0.356986,1.63925
0.604,0.358625,1.62944
0.605,0.360255,1.61963
0.606,0.361874,1.60982
0.607,0.363484,1.60001
0.608,0.365084,1.5902
0.609,0.366674,1.58039
0.61,0.368255,1.57058
0.611,0.369825,1.56077
0.612,0.371386,1.55096
0.613,0.372937,1.54115
0.614,0.374478,1.53134
0.615,0.376009,1.52153
0.616,0.377531,1.51172
0.617,0.379043,1.50191
0.618,0.380545,1.4921
0.619,0.382037,1.48229
0.62,0.383519,1.47248
0.621,0.384991,1.46267
0.622,0.386454,1.45286
0.623,0.387907,1.44305
0.624,0.38935,1.43324
0.625,0.390783,1.42343
0.626,0.392207,1.41362
0.627,0.39362,1.40381
0.628,0.395024,1.394
0.629,0.396418,1.38419
0.63,0.397802,1.37438
0.631,0.399177,1.36457
0.632,0.400541,1.35476
0.633,0.401896,1.34495
0.634,0.403241,1.33514
0.635,0.404576,1.32533
0.636,0.405902,1.31552
0.637,0.407217,1.30571
0.638,0.408523,1.2959
0.639,0.409819,1.28609
0.64,0.411105,1.27628
0.641,0.412381,1.26647
0.642,0.413647,1.25666
0.643,0.414904,1.24685
0.644,0.416151,1.23704
0.645,0.417388,1.22723
0.646,0.418615,1.21742
0.647,0.419833,1.20761
0.648,0.42104,1.1978
0.649,0.422238,1.18799
0.65,0.423426,1.17818
0.651,0.424604,1.16837
0.652,0.425773,1.15856
0.653,0.426931,1.14875
0.654,0.42808,1.13894
0.655,0.429219,1.12913
0.656,0.430348,1.11932
0.657,0.431467,1.10951
0.658,0.432577,1.0997
0.659,0.433677,1.08989
0.66,0.434766,1.08008
0.661,0.435847,1.07027
0.662,0.436917,1.06046
0.663,0.437977,1.05065
0.664,0.439028,1.04084
0.665,0.440069,1.03103
0.666,0.4411,1.02122
0.667,0.442121,1.01141
0.668,0.443132,1.0016
0.669,0.444134,0.991791
0.67,0.445126,0.981981
0.671,0.446108,0.972171
0.672,0.44708,0.962361
0.673,0.448042,0.952551
0.674,0.448995,0.942741
0.675,0.449938,0.932931
0.676,0.450871,0.923121
0.677,0.451794,0.913311
0.678,0.452707,0.903501
0.679,0.45361,0.893691
0.68,0.454504,0.883881
0.681,0.455388,0.874071
0.682,0.456262,0.864261
0.683,0.457126,0.854451
0.684,0.457981,0.844641
0.685,0.458825,0.834831
0.686,0.45966,0.825021
0.687,0.460485,0.815211
0.688,0.461301,0.805401
0.689,0.462106,0.795591
0.69,0.462902,0.785781
0.691,0.463687,0.775971
0.692,0.464463,0.766161
0.693,0.465229,0.756351
0.694,0.465986,0.746541
0.695,0.466732,0.736731
0.696,0.467469,0.726921
0.697,0.468196,0.717111
0.698,0.468913,0.707301
0.699,0.46962,0.697491
0.7,0.470318,0.687681
0.701,0.471006,0.677871
0.702,0.471683,0.668061
0.703,0.472351,0.658251
0.704,0.47301,0.648441
0.705,0.473658,0.638631
0.706,0.474297,0.628821
0.707,0.474926,0.619011
0.708,0.475545,0.609201
0.709,0.476154,0.599391
0.71,0.476753,0.589581
0.711,0.477343,0.579771
0.712,0.477923,0.569961
0.713,0.478493,0.560151
0.714,0.479053,0.550341
0.715,0.479603,0.540531
0.716,0.480144,0.530721
0.717,0.480674,0.520911
0.718,0.481195,0.511101
0.719,0.481706,0.501291
0.72,0.482208,0.491481
0.721,0.482699,0.481671
0.722,0.483181,0.471861
0.723,0.483653,0.462051
0.724,0.484115,0.452241
0.725,0.484567,0.442431
0.726,0.485009,0.432621
0.727,0.485442,0.422811
0.728,0.485865,0.413001
0.729,0.486278,0.403191
0.73,0.486681,0.393381
0.731,0.487074,0.383571
0.732,0.487458,0.373761
0.733,0.487832,0.363951
0.734,0.488196,0.354141
0.735,0.48855,0.344331
0.736,0.488894,0.334521
0.737,0.489229,0.324711
0.738,0.489553,0.314901
0.739,0.489868,0.305091
0.74,0.490173,0.295281
0.741,0.490469,0.285471
0.742,0.490754,0.275661
0.743,0.49103,0.265851
0.744,0.491296,0.256041
0.745,0.491552,0.246231
0.746,0.491798,0.236421
0.747,0.492034,0.226611
0.748,0.492261,0.216801
0.749,0.492478,0.206991
0.75,0.492685,0.197181
0.751,0.492882,0.187371
0.752,0.493069,0.177561
0.753,0.493247,0.167751
0.754,0.493415,0.157941
0.755,0.493572,0.148131
0.756,0.493721,0.138321
0.757,0.493859,0.128511
0.758,0.493987,0.118701
0.759,0.494106,0.108891
0.76,0.494215,0.099081
0.761,0.494314,0.089271
0.762,0.494403,0.079461
0.763,0.494483,0.069651
0.764,0.494553,0.059841
0.765,0.494612,0.050031
0.766,0.494662,0.040221
0.767,0.494703,0.030411
0.768,0.494733,0.020601
0.769,0.494754,0.010791
0.77,0.494764,0.000981
0.771,0.494765,-0.008829
0.772,0.494757,-0.018639
0.773,0.494738,-0.028449
0.774,0.494709,-0.038259
0.775,0.494671,-0.048069
0.776,0.494623,-0.057879
0.777,0.494565,-0.067689
0.778,0.494498,-0.077499
0.779,0.49442,-0.087309
0.78,0.494333,-0.097119
0.781,0.494236,-0.106929
0.782,0.494129,-0.116739
0.783,0.494012,-0.126549
0.784,0.493885,-0.136359
0.785,0.493749,-0.146169
0.786,0.493603,-0.155979
0.787,0.493447,-0.165789
0.788,0.493281,-0.175599
0.789,0.493106,-0.185409
0.79,0.49292,-0.195219
0.791,0.492725,-0.205029
0.792,0.49252,-0.214839
0.793,0.492305,-0.224649
0.794,0.49208,-0.234459
0.795,0.491846,-0.244269
0.796,0.491602,-0.254079
0.797,0.491348,-0.263889
0.798,0.491084,-0.273699
0.799,0.49081,-0.283509
0.8,0.490526,-0.293319
0.801,0.490233,-0.303129
0.802,0.48993,-0.312939
0.803,0.489617,-0.322749
0.804,0.489294,-0.332559
0.805,0.488962,-0.342369
0.806,0.488619,-0.352179
0.807,0.488267,-0.361989
0.808,0.487905,-0.371799
0.809,0.487533,-0.381609
0.81,0.487152,-0.391419
0.811,0.48676,-0.401229
0.812,0.486359,-0.411039
0.813,0.485948,-0.420849
0.814,0.485527,-0.430659
0.815,0.485097,-0.440469
0.816,0.484656,-0.450279
0.817,0.484206,-0.460089
0.818,0.483746,-0.469899
0.819,0.483276,-0.479709
0.82,0.482796,-0.489519
0.821,0.482307,-0.499329
0.822,0.481807,-0.509139
0.823,0.481298,-0.518949
0.824,0.480779,-0.528759
0.825,0.480251,-0.538569
0.826,0.479712,-0.548379
0.827,0.479164,-0.558189
0.828,0.478605,-0.567999
0.829,0.478037,-0.577809
0.83,0.47746,-0.587619
0.831,0.476872,-0.597429
0.832,0.476275,-0.607239
0.833,0.475667,-0.617049
0.834,0.47505,-0.626859
0.835,0.474423,-0.636669
0.836,0.473787,-0.646479
0.837,0.47314,-0.656289
0.838,0.472484,-0.666099
0.839,0.471818,-0.675909
0.84,0.471142,-0.685719
0.841,0.470456,-0.695529
0.842,0.469761,-0.705339
0.843,0.469055,-0.715149
0.844,0.46834,-0.724959
0.845,0.467615,-0.734769
0.846,0.46688,-0.744579
0.847,0.466136,-0.754389
0.848,0.465381,-0.764199
0.849,0.464617,-0.774009
0.85,0.463843,-0.783819
0.851,0.463059,-0.793629
0.852,0.462266,-0.803439
0.853,0.461462,-0.813249
0.854,0.460649,-0.823059
0.855,0.459826,-0.832869
0.856,0.458993,-0.842679
0.857,0.458151,-0.852489
0.858,0.457298,-0.862299
0.859,0.456436,-0.872109
0.86,0.455564,-0.881919
0.861,0.454682,-0.891729
0.862,0.45379,-0.901539
0.863,0.452888,-0.911349
0.864,0.451977,-0.921159
0.865,0.451056,-0.930969
0.866,0.450125,-0.940779
0.867,0.449184,-0.950589
0.868,0.448234,-0.960399
0.869,0.447273,-0.970209
0.87,0.446303,-0.980019
0.871,0.445323,-0.989829
0.872,0.444333,-0.999639
0.873,0.443334,-1.00945
0.874,0.442324,-1.01926
0.875,0.441305,-1.02907
0.876,0.440276,-1.03888
0.877,0.439237,-1.04869
0.878,0.438188,-1.0585
0.879,0.43713,-1.06831
0.88,0.436061,-1.07812
0.881,0.434983,-1.08793
0.882,0.433895,-1.09774
0.883,0.432798,-1.10755
0.884,0.43169,-1.11736
0.885,0.430573,-1.12717
0.886,0.429446,-1.13698
0.887,0.428309,-1.14679
0.888,0.427162,-1.1566
0.889,0.426005,-1.16641
0.89,0.424839,-1.17622
0.891,0.423663,-1.18603
0.892,0.422476,-1.19584
0.893,0.421281,-1.20565
0.894,0.420075,-1.21546
0.895,0.41886,-1.22527
0.896,0.417634,-1.23508
0.897,0.416399,-1.24489
0.898,0.415154,-1.2547
0.899,0.4139,-1.26451
0.9,0.412635,-1.27432
0.901,0.411361,-1.28413
0.902,0.410077,-1.29394
0.903,0.408783,-1.30375
0.904,0.407479,-1.31356
0.905,0.406165,-1.32337
0.906,0.404842,-1.33318
0.907,0.403509,-1.34299
0.908,0.402166,-1.3528
0.909,0.400813,-1.36261
0.91,0.39945,-1.37242
0.911,0.398078,-1.38223
0.912,0.396696,-1.39204
0.913,0.395304,-1.40185
0.914,0.393902,-1.41166
0.915,0.39249,-1.42147
0.916,0.391069,-1.43128
0.917,0.389638,-1.44109
0.918,0.388196,-1.4509
0.919,0.386746,-1.46071
0.92,0.385285,-1.47052
0.921,0.383814,-1.48033
0.922,0.382334,-1.49014
0.923,0.380844,-1.49995
0.924,0.379344,-1.50976
0.925,0.377834,-1.51957
0.926,0.376315,-1.52938
0.927,0.374785,-1.53919
0.928,0.373246,-1.549
0.929,0.371697,-1.55881
0.93,0.370138,-1.56862
0.931,0.36857,-1.57843
0.932,0.366991,-1.58824
0.933,0.365403,-1.59805
0.934,0.363805,-1.60786
0.935,0.362197,-1.61767
0.936,0.360579,-1.62748
0.937,0.358952,-1.63729
0.938,0.357315,-1.6471
0.939,0.355667,-1.65691
0.94,0.354011,-1.66672
0.941,0.352344,-1.67653
0.942,0.350667,-1.68634
0.943,0.348981,-1.69615
0.944,0.347285,-1.70596
0.945,0.345579,-1.71577
0.946,0.343863,-1.72558
0.947,0.342137,-1.73539
0.948,0.340402,-1.7452
0.949,0.338657,-1.75501
