time,y
0,1 2 3
1,2.7169239322358925 5.433847864471785 8.150771796707678
2,7.381675653556159 14.763351307112318 22.145026960668407
3,20.055451243149793 40.11090248629959 60.16635372944905
4,54.489135454303685 108.97827090860737 163.4674063629103
5,148.04283616264095 296.0856723252819 444.12850848792027
6,402.2211245663556 804.4422491327113 1206.6633736990636
7,1092.8041993851652 2185.6083987703305 3278.4125981554794
8,2969.0658825574433 5938.131765114887 8907.197647672285
9,8066.726152705384 16133.452305410769 24200.1784581161
10,21916.681339078466 43833.36267815693 65750.0440172352
